# packsetd write trace (PACKSET_TRACE_WRITES), mean milliseconds per stage by live count, terra job 15900
live  n     total  prepare snapshot    dedup  replace    links   upsert  project      cap
    0 1000     11.6      8.0      0.0      0.4      0.0      0.0      3.2      0.0      0.0
 1000 1000     12.4      7.8      0.0      1.2      0.0      0.0      3.4      0.0      0.0
 2000 1000     13.8      7.7      0.0      2.1      0.0      0.0      4.0      0.0      0.0
 3000 1000     12.3      6.6      0.0      2.3      0.0      0.0      3.4      0.0      0.0
 4000 1000     12.7      6.8      0.0      2.4      0.0      0.0      3.4      0.0      0.0
 5000 1000     17.4      6.4      0.0      3.2      0.0      0.0      7.8      0.0      0.0
 6000 1000     19.6      6.6      0.0      4.7      0.0      0.0      8.3      0.0      0.0
 7000 1000     26.6      7.6      0.0      7.7      0.0      0.0     11.2      0.0      0.0
 8000 1000     28.5      7.8      0.0      8.8      0.0      0.0     12.0      0.0      0.0
 9000 1000     32.1      7.8      0.0     10.2      0.0      0.0     14.0      0.0      0.0
